TextID,ParagraphID,sentenceID,ClauseID,TripletID,Sentence,SentenceM,Clause,triplet,Subject,Verb,Object,SubjCat,VerbCat,ObjCat
4,1,1,1,1,We use the uniqueness of each social media platform and the tools available to create a persona of your brand which then becomes part of your consumer's life.,ART5 use the uniqueness of each social media platform and the tools available to create a persona of your brand which then becomes part of your consumer's life.,ART5 use the uniqueness of each social media platform and the tools available,ART5 use the uniqueness of each social media platform,ART5,use,social media platform,Company,use,social_media_platform
4,1,1,1,2,We use the uniqueness of each social media platform and the tools available to create a persona of your brand which then becomes part of your consumer's life.,ART5 use the uniqueness of each social media platform and the tools available to create a persona of your brand which then becomes part of your consumer's life.,ART5 use the uniqueness of each social media platform and the tools available,ART5 use the tools available,ART5,use, the tools available,Company,use,tools
4,1,1,2,3,We use the uniqueness of each social media platform and the tools available to create a persona of your brand which then becomes part of your consumer's life.,ART5 use the uniqueness of each social media platform and the tools available to create a persona of your brand which then becomes part of your consumer's life.,ART5 create a persona of your brand ,ART5 create a persona of your brand ,ART5,create,persona of your brand,Company,create,identity
4,1,1,3,4,We use the uniqueness of each social media platform and the tools available to create a persona of your brand which then becomes part of your consumer's life.,ART5 use the uniqueness of each social media platform and the tools available to create a persona of your brand which then becomes part of your consumer's life.,persona then becomes part of your consumer's life,persona then becomes part of your consumer's life,persona of your brand,become,part of your consumer's life,identity,be,todo
